Sl no,From,To,ROUTE Length
294,Hubballi,Jamakhandi,185
295,Hubballi,Karwar,180
296,Hubballi,Madagao,260
297,Hubballi,Nandigatti,50
298,Hubballi,SIRSI,105
299,Hubballi,Tabakadhonnalli,40
300,Hubballi,Ulavi,150
301,Haliyal,Mundagod,66
302,Hubballi,Mantralayam,354
303,Kalaghatagi,Adarsha School,7
304,Kalaghatagi,Aralihonda,12
305,Kalaghatagi,Aralihonda,20
306,Kalaghatagi,ASKATTI,17
307,Kalaghatagi,Bagenagarkoppa,25
308,Kalaghatagi,Begur/Bisnalli,14
309,Kalaghatagi,BMT,14
310,Kalaghatagi,Bogenagarkoppa,25
311,Kalaghatagi,Dharwad,38
312,Kalaghatagi,Dharwad,34
313,Kalaghatagi,Gambyapur,25
314,Kalaghatagi,GUD.HLKT,33
315,Kalaghatagi,Hatakinal,10
316,Kalaghatagi,Hatakinal,10
317,Kalaghatagi,Hirehonnali,14
318,Kalaghatagi,HLY,40
319,Kalaghatagi,HLY,34
320,Kalaghatagi,HLY,34
321,Kalaghatagi,HRBS,29
322,Kalaghatagi,HRBS,35
323,Kalaghatagi,HRBS,62
324,Kalaghatagi,HRBS,34
325,Kalaghatagi,HRBS,34
326,Kalaghatagi,HRBS,65
327,Kalaghatagi,Hubli/HRBS,29
328,Kalaghatagi,Hulaginakoppa,21
329,Kalaghatagi,Hulakoppa,27
330,Kalaghatagi,Hunagund,25
331,Kalaghatagi,Hunashikatti,14
332,Kalaghatagi,Jinnur,10
333,Kalaghatagi,Kandali,19
334,Kalaghatagi,Masalikatti,20
335,Kalaghatagi,Misrikoti,19
336,Kalaghatagi,Mukkal,14
337,Kalaghatagi,Mukkal,54
338,Kalaghatagi,Mundagod,32
339,Kalaghatagi,Nellarvi,22
340,Kalaghatagi,Nellarvi Tanda,22
341,Kalaghatagi,Satusayyed,18
342,Kalaghatagi,Shingnalli,12
343,Kalaghatagi,SIRSI,89
344,Kalaghatagi,SSYD,18
345,Kalaghatagi,Tabakadahonnalli,20
346,Kalaghatagi,Tabakadhonnalli,14
347,Kalaghatagi,Tadas,30
348,Kalaghatagi,Tadas x,31
349,Kalaghatagi,Tambur,14
350,Kalaghatagi,TBC,20
351,Kalaghatagi,TDS,28
352,Kalaghatagi,Ugnikeri,31
353,Kalaghatagi,YLP,43
354,Mantralayam,Hubli/HRBS,354
355,Mundagod,HLY,66
356,Mundagod,HLY,66
357,Mundagod,HLY,66
358,Nandigatti,HRBS,50
359,SIRSI,HUBLI,105
360,Hubballi,Panaji,204
361,Kalaghatagi,Mundagod,32
